1. 
        city_name         | state_nm | origin_destination |                   unique_carrier_name                   | passengers 
 Denver, CO                | Colorado | DEN                | GoJet Airlines LLC d/b/a United Express                 |       3095
 Denver, CO                | Colorado | DEN                | GoJet Airlines LLC d/b/a United Express                 |       1462
 Denver, CO                | Colorado | DEN                | GoJet Airlines LLC d/b/a United Express                 |       3151
 Denver, CO                | Colorado | DEN                | GoJet Airlines LLC d/b/a United Express                 |        776
 Denver, CO                | Colorado | DEN                | GoJet Airlines LLC d/b/a United Express                 |        523
 Denver, CO                | Colorado | DEN                | GoJet Airlines LLC d/b/a United Express                 |        387
 Denver, CO                | Colorado | DEN                | GoJet Airlines LLC d/b/a United Express                 |       6129
 Denver, CO                | Colorado | DEN                | GoJet Airlines LLC d/b/a United Express                 |       1722
 Denver, CO                | Colorado | DEN                | GoJet Airlines LLC d/b/a United Express                 |        265
 Denver, CO                | Colorado | DEN                | GoJet Airlines LLC d/b/a United Express                 |       3039
 Denver, CO                | Colorado | DEN                | GoJet Airlines LLC d/b/a United Express                 |        642
 Denver, CO                | Colorado | DEN                | GoJet Airlines LLC d/b/a United Express                 |       3165
 Denver, CO                | Colorado | DEN                | GoJet Airlines LLC d/b/a United Express                 |       1219
 Denver, CO                | Colorado | DEN                | GoJet Airlines LLC d/b/a United Express                 |       3004
 Denver, CO                | Colorado | DEN                | GoJet Airlines LLC d/b/a United Express                 |        133
 Denver, CO                | Colorado | DEN                | GoJet Airlines LLC d/b/a United Express                 |        308
 Denver, CO                | Colorado | DEN                | GoJet Airlines LLC d/b/a United Express                 |        281
 Denver, CO                | Colorado | DEN                | GoJet Airlines LLC d/b/a United Express                 |       2565
 Durango, CO               | Colorado | DRO                | GoJet Airlines LLC d/b/a United Express                 |       6090
 Denver, CO                | Colorado | DEN                | GoJet Airlines LLC d/b/a United Express                 |        255
 Denver, CO                | Colorado | DEN                | GoJet Airlines LLC d/b/a United Express                 |       2769
 Denver, CO                | Colorado | DEN                | GoJet Airlines LLC d/b/a United Express                 |       1220
 Denver, CO                | Colorado | DEN                | GoJet Airlines LLC d/b/a United Express                 |        191
 Denver, CO                | Colorado | DEN                | GoJet Airlines LLC d/b/a United Express                 |        199
 Denver, CO                | Colorado | DEN                | GoJet Airlines LLC d/b/a United Express                 |        453
 Denver, CO                | Colorado | DEN                | GoJet Airlines LLC d/b/a United Express                 |        199
 Denver, CO                | Colorado | DEN                | GoJet Airlines LLC d/b/a United Express                 |       1686
 Denver, CO                | Colorado | DEN                | GoJet Airlines LLC d/b/a United Express                 |       1332
 Denver, CO                | Colorado | DEN                | GoJet Airlines LLC d/b/a United Express                 |       1101
 Hayden, CO                | Colorado | HDN                | GoJet Airlines LLC d/b/a United Express                 |       1184
 Denver, CO                | Colorado | DEN                | GoJet Airlines LLC d/b/a United Express                 |       1245
 Denver, CO                | Colorado | DEN                | GoJet Airlines LLC d/b/a United Express                 |       1602
 Denver, CO                | Colorado | DEN                | GoJet Airlines LLC d/b/a United Express                 |       1906
 Eagle, CO                 | Colorado | EGE                | GoJet Airlines LLC d/b/a United Express                 |       1074
 Denver, CO                | Colorado | DEN                | GoJet Airlines LLC d/b/a United Express                 |       1484
 Montrose/Delta, CO        | Colorado | MTJ                | GoJet Airlines LLC d/b/a United Express                 |        349
 Denver, CO                | Colorado | DEN                | GoJet Airlines LLC d/b/a United Express                 |         70
 Montrose/Delta, CO        | Colorado | MTJ                | GoJet Airlines LLC d/b/a United Express                 |       2931
 Denver, CO                | Colorado | DEN                | Great Lakes Airlines                                    |         88
 Denver, CO                | Colorado | DEN                | Great Lakes Airlines                                    |        385
 Denver, CO                | Colorado | DEN                | Great Lakes Airlines                                    |        730
 Denver, CO                | Colorado | DEN                | Great Lakes Airlines                                    |          5
 Pueblo, CO                | Colorado | PUB                | Great Lakes Airlines                                    |          5
 Telluride, CO             | Colorado | TEX                | Great Lakes Airlines                                    |         11
 Denver, CO                | Colorado | DEN                | Great Lakes Airlines                                    |         13
 Pueblo, CO                | Colorado | PUB                | Great Lakes Airlines                                    |        231
 Denver, CO                | Colorado | DEN                | Great Lakes Airlines                                    |        236
 Denver, CO                | Colorado | DEN                | Great Lakes Airlines                                    |        382
 Denver, CO                | Colorado | DEN                | Great Lakes Airlines                                    |         13
 Colorado Springs, CO      | Colorado | COS                | Horizon Air                                             |       1004
 Denver, CO                | Colorado | APA                | Jet Aviation Flight Services, Inc.                      |          0
 Denver, CO                | Colorado | APA                | Jet Aviation Flight Services, Inc.                      |          1
 Denver, CO                | Colorado | APA                | Jet Aviation Flight Services, Inc.                      |          1
 Denver, CO                | Colorado | DEN                | JetBlue Airways                                         |       1704
 Denver, CO                | Colorado | DEN                | JetBlue Airways                                         |       7713
 Denver, CO                | Colorado | DEN                | JetBlue Airways                                         |       5404
 Denver, CO                | Colorado | DEN                | Kalitta Charters II                                     |          0
 Durango, CO               | Colorado | DRO                | Mesa Airlines Inc.                                      |       5087
 Montrose/Delta, CO        | Colorado | MTJ                | Mesa Airlines Inc.                                      |         66
 Montrose/Delta, CO        | Colorado | MTJ                | Mesa Airlines Inc.                                      |       1099
